keyword,title,price,likes,views,brand,country,url,status,sold_confirmed,offers,published_at,age_hours,age_band,score,verdict
stanley bottle,Stanley Quencher H2.0 40oz Seafoam Bay Leaf Green Viral Tumbler Cup with Handle + Straw Gift,34.5,6,0,Viral Seafoam Stanley Quencher H2.0 40oz Green Cle,,https://www.vinted.fr/items/7661462133,active,False,0,2025-12-14 07:13:10 CET,4320.0,old,0,⚠️ Low
stanley bottle,paracord bottle holder,5.0,3,0,Handmade,,https://www.vinted.fr/items/7724833276,active,False,0,2025-12-14 07:13:15 CET,4320.0,old,0,⚠️ Low
stanley bottle,Metal bottle,5.0,15,0,Stradivarius,,https://www.vinted.fr/items/7154094848,active,False,0,2025-10-15 07:13:16 CEST,5760.0,old,0,⚠️ Low
stanley bottle,Stanley look bottle to go,3.0,5,0,,,https://www.vinted.fr/items/6741453812,active,False,0,2025-08-16 07:13:20 CEST,7200.0,old,0,⚠️ Low
stanley bottle,Beautiful mug. New. Looks like a Stanley mug.,5.0,6,0,Mug,,https://www.vinted.fr/items/7640191610,active,False,0,2025-12-14 07:13:27 CET,4320.0,old,0,⚠️ Low
stanley bottle,Water bottle Large,6.99,5,0,,,https://www.vinted.fr/items/7349050422,active,False,0,2025-11-14 07:13:27 CET,5040.0,old,0,⚠️ Low
stanley bottle,L'Oréal plastic cups .. Stanley style,8.0,7,0,L'Oréal,,https://www.vinted.fr/items/7247459683,active,False,0,2025-10-15 07:13:32 CEST,5760.0,old,0,⚠️ Low
stanley bottle,Air up bottle purple x2,20.0,3,0,air up,,https://www.vinted.fr/items/7235798314,active,False,0,2025-10-15 07:13:38 CEST,5760.0,old,0,⚠️ Low
stanley bottle,Steve Madden Travel-Set – Tasche + Bottle-Holder (neu mit Etikett),22.0,1,0,Steve Madden,,https://www.vinted.fr/items/7687109729,active,False,0,2025-12-14 07:13:39 CET,4320.0,old,0,⚠️ Low
stanley bottle,🤍 Stanley Cup Tasche / Bottle Bag – Weiß,10.0,7,0,,,https://www.vinted.fr/items/7209289559,active,False,0,2025-10-15 07:13:44 CEST,5760.0,old,0,⚠️ Low
stanley bottle,Botella grande,7.0,1,0,,,https://www.vinted.fr/items/7313453764,active,False,0,2025-11-14 07:13:49 CET,5040.0,old,0,⚠️ Low
stanley bottle,Stanley bottle,5.5,3,0,Primark,,https://www.vinted.fr/items/6901680283,active,False,0,2025-09-15 07:13:50 CEST,6480.0,old,0,⚠️ Low
stanley bottle,Red Asymmetric Dress,15.0,3,0,Amazon,,https://www.vinted.fr/items/6914959927,active,False,0,2025-09-15 07:13:55 CEST,6480.0,old,0,⚠️ Low
stanley bottle,"Taza térmicas azul  Gouda Nerthus de 900 ml, disponibles en naranja, gris y azul.",17.0,7,0,nerthus,,https://www.vinted.fr/items/7608275223,active,False,0,2025-12-14 07:13:59 CET,4320.0,old,0,⚠️ Low
stanley bottle,White Tumbler,10.0,1,0,Source Unknown,,https://www.vinted.fr/items/7312252203,active,False,0,2025-11-14 07:13:59 CET,5040.0,old,0,⚠️ Low
stanley bottle,Cinnamon Girl Sticker Sheet,5.99,16,0,Originals,,https://www.vinted.fr/items/7368578591,active,False,0,2025-11-14 07:14:06 CET,5040.0,old,0,⚠️ Low
stanley bottle,"Stanley Cup Crossbody Carrier, Handmade Crochet Water Bottle Holder Bag",22.0,9,0,Handgemaakt,,https://www.vinted.fr/items/6846441545,active,False,0,2025-08-16 07:14:11 CEST,7200.0,old,0,⚠️ Low
stanley bottle,Xl flask,5.0,1,0,,,https://www.vinted.fr/items/6858687545,active,False,0,2025-09-15 07:14:11 CEST,6480.0,old,0,⚠️ Low
stanley bottle,Stanley Orchid Purple (New),46.0,44,0,stanley cup,,https://www.vinted.fr/items/4357214317,active,False,0,2025-04-21 16:14:15 CEST,9999,old,0,⚠️ Low
stanley bottle,Purple waterbottle,6.69,0,0,Miscellaneous,,https://www.vinted.fr/items/6998883578,active,False,0,2025-09-15 07:14:20 CEST,6480.0,old,0,⚠️ Low
